[2026-05-27T02:03:54.960Z] GET http://localhost:8080/index.html → 200 (9ms, 8936B)
[2026-05-27T02:03:54.981Z] GET https://fonts.googleapis.com/css2?family=Inter:opsz,wght@14..32,400;14..32,500;14..32,600&display=swap → 200 (285ms, 7161B)
[2026-05-27T02:03:54.987Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/layout.js → 200 (244ms, 22976B)
[2026-05-27T02:03:55.233Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/bidi.js → 200 (118ms, 5675B)
[2026-05-27T02:03:55.233Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/analysis.js → 200 (121ms, 40848B)
[2026-05-27T02:03:55.233Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/measurement.js → 200 (116ms, 8524B)
[2026-05-27T02:03:55.233Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/line-break.js → 200 (119ms, 34705B)
[2026-05-27T02:03:55.233Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/line-text.js → 200 (120ms, 2687B)
[2026-05-27T02:03:55.293Z] GET https://fonts.gstatic.com/s/inter/v20/UcCo3FwrK3iLTcviYwYZ8UA3.woff2 → 200 (325ms, 73016B)
[2026-05-27T02:03:55.351Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/generated/bidi-data.js → 200 (123ms, 23424B)
[2026-05-27T02:03:55.619Z] GET http://localhost:8080/data.json → 200 (3ms, 7617B)
[2026-05-27T02:05:34.525Z] GET http://localhost:8080/index.html → 200 (2ms, 9059B)
[2026-05-27T02:05:34.532Z] GET https://fonts.googleapis.com/css2?family=Inter:opsz,wght@14..32,400;14..32,500;14..32,600&display=swap → 200 (?ms, 7161B)
[2026-05-27T02:05:34.534Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/layout.js → 200 (?ms, 22976B)
[2026-05-27T02:05:34.536Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/bidi.js → 200 (?ms, 5675B)
[2026-05-27T02:05:34.536Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/analysis.js → 200 (2ms, 40848B)
[2026-05-27T02:05:34.538Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/measurement.js → 200 (?ms, 8524B)
[2026-05-27T02:05:34.538Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/line-break.js → 200 (1ms, 34705B)
[2026-05-27T02:05:34.540Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/line-text.js → 200 (?ms, 2687B)
[2026-05-27T02:05:34.541Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/generated/bidi-data.js → 200 (1ms, 23424B)
[2026-05-27T02:05:34.542Z] GET https://fonts.gstatic.com/s/inter/v20/UcCo3FwrK3iLTcviYwYZ8UA3.woff2 → 200 (?ms, ?B)
[2026-05-27T02:05:34.544Z] GET http://localhost:8080/data.json → 200 (1ms, 7617B)
[2026-05-27T02:05:46.104Z] GET http://localhost:8080/index.html → 200 (2ms, 9216B)
[2026-05-27T02:05:46.111Z] GET https://fonts.googleapis.com/css2?family=Inter:opsz,wght@14..32,400;14..32,500;14..32,600&display=swap → 200 (?ms, 7161B)
[2026-05-27T02:05:46.113Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/layout.js → 200 (?ms, 22976B)
[2026-05-27T02:05:46.114Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/bidi.js → 200 (?ms, 5675B)
[2026-05-27T02:05:46.114Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/analysis.js → 200 (1ms, 40848B)
[2026-05-27T02:05:46.116Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/measurement.js → 200 (?ms, 8524B)
[2026-05-27T02:05:46.116Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/line-break.js → 200 (1ms, 34705B)
[2026-05-27T02:05:46.118Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/line-text.js → 200 (?ms, 2687B)
[2026-05-27T02:05:46.119Z] GET https://cdn.jsdelivr.net/npm/@chenglou/pretext/dist/generated/bidi-data.js → 200 (?ms, 23424B)
[2026-05-27T02:05:46.121Z] GET https://fonts.gstatic.com/s/inter/v20/UcCo3FwrK3iLTcviYwYZ8UA3.woff2 → 200 (?ms, ?B)
[2026-05-27T02:05:46.127Z] GET http://localhost:8080/data.json → 200 (1ms, 7617B)
